"","condition","phase","itemtype","token","category","distortion","pat_index"
"1",1,1,1,1,1,1,82
"2",1,1,1,2,1,1,90
"3",1,1,1,3,1,1,13
"4",1,1,1,4,1,1,89
"5",1,1,1,5,1,1,61
"6",1,1,1,6,1,1,10
"7",1,1,1,7,1,1,27
"8",1,1,1,8,1,1,51
"9",1,1,1,9,1,1,97
"10",1,1,1,1,2,1,97
"11",1,1,1,2,2,1,16
"12",1,1,1,3,2,1,96
"13",1,1,1,4,2,1,93
"14",1,1,1,5,2,1,47
"15",1,1,1,6,2,1,77
"16",1,1,1,7,2,1,14
"17",1,1,1,8,2,1,40
"18",1,1,1,9,2,1,85
"19",1,1,1,1,3,1,80
"20",1,1,1,2,3,1,95
"21",1,1,1,3,3,1,65
"22",1,1,1,4,3,1,4
"23",1,1,1,5,3,1,82
"24",1,1,1,6,3,1,89
"25",1,1,1,7,3,1,64
"26",1,1,1,8,3,1,71
"27",1,1,1,9,3,1,69
"28",1,2,1,1,1,1,82
"29",1,2,1,2,1,1,90
"30",1,2,1,3,1,1,13
"31",1,2,1,4,1,1,89
"32",1,2,1,5,1,1,61
"33",1,2,1,6,1,1,10
"34",1,2,1,7,1,1,27
"35",1,2,1,8,1,1,51
"36",1,2,1,9,1,1,97
"37",1,2,1,1,2,1,97
"38",1,2,1,2,2,1,16
"39",1,2,1,3,2,1,96
"40",1,2,1,4,2,1,93
"41",1,2,1,5,2,1,47
"42",1,2,1,6,2,1,77
"43",1,2,1,7,2,1,14
"44",1,2,1,8,2,1,40
"45",1,2,1,9,2,1,85
"46",1,2,1,1,3,1,80
"47",1,2,1,2,3,1,95
"48",1,2,1,3,3,1,65
"49",1,2,1,4,3,1,4
"50",1,2,1,5,3,1,82
"51",1,2,1,6,3,1,89
"52",1,2,1,7,3,1,64
"53",1,2,1,8,3,1,71
"54",1,2,1,9,3,1,69
"55",1,2,2,0,1,0,0
"56",1,2,2,0,2,0,0
"57",1,2,2,0,3,0,0
"58",1,2,3,1,1,1,140
"59",1,2,3,2,1,1,165
"60",1,2,3,3,1,1,117
"61",1,2,3,1,2,1,171
"62",1,2,3,2,2,1,104
"63",1,2,3,3,2,1,128
"64",1,2,3,1,3,1,105
"65",1,2,3,2,3,1,110
"66",1,2,3,3,3,1,181
"67",1,2,4,1,1,2,170
"68",1,2,4,2,1,2,132
"69",1,2,4,3,1,2,194
"70",1,2,4,4,1,2,104
"71",1,2,4,5,1,2,143
"72",1,2,4,6,1,2,137
"73",1,2,4,1,2,2,177
"74",1,2,4,2,2,2,179
"75",1,2,4,3,2,2,119
"76",1,2,4,4,2,2,148
"77",1,2,4,5,2,2,143
"78",1,2,4,6,2,2,162
"79",1,2,4,1,3,2,171
"80",1,2,4,2,3,2,175
"81",1,2,4,3,3,2,128
"82",1,2,4,4,3,2,166
"83",1,2,4,5,3,2,163
"84",1,2,4,6,3,2,116
"85",1,2,5,1,1,3,112
"86",1,2,5,2,1,3,150
"87",1,2,5,3,1,3,195
"88",1,2,5,4,1,3,134
"89",1,2,5,5,1,3,157
"90",1,2,5,6,1,3,122
"91",1,2,5,7,1,3,171
"92",1,2,5,8,1,3,124
"93",1,2,5,9,1,3,147
"94",1,2,5,1,2,3,170
"95",1,2,5,2,2,3,189
"96",1,2,5,3,2,3,195
"97",1,2,5,4,2,3,154
"98",1,2,5,5,2,3,114
"99",1,2,5,6,2,3,115
"100",1,2,5,7,2,3,125
"101",1,2,5,8,2,3,179
"102",1,2,5,9,2,3,124
"103",1,2,5,1,3,3,182
"104",1,2,5,2,3,3,125
"105",1,2,5,3,3,3,192
"106",1,2,5,4,3,3,134
"107",1,2,5,5,3,3,119
"108",1,2,5,6,3,3,124
"109",1,2,5,7,3,3,158
"110",1,2,5,8,3,3,145
"111",1,2,5,9,3,3,133
"112",1,2,6,0,1,3,126
"113",1,2,6,0,2,3,129
"114",1,2,6,0,3,3,110
"115",2,1,1,1,1,2,82
"116",2,1,1,2,1,2,90
"117",2,1,1,3,1,2,13
"118",2,1,1,4,1,2,89
"119",2,1,1,5,1,2,61
"120",2,1,1,6,1,2,10
"121",2,1,1,7,1,2,27
"122",2,1,1,8,1,2,51
"123",2,1,1,9,1,2,97
"124",2,1,1,1,2,2,97
"125",2,1,1,2,2,2,16
"126",2,1,1,3,2,2,96
"127",2,1,1,4,2,2,93
"128",2,1,1,5,2,2,47
"129",2,1,1,6,2,2,77
"130",2,1,1,7,2,2,14
"131",2,1,1,8,2,2,40
"132",2,1,1,9,2,2,85
"133",2,1,1,1,3,2,80
"134",2,1,1,2,3,2,95
"135",2,1,1,3,3,2,65
"136",2,1,1,4,3,2,4
"137",2,1,1,5,3,2,82
"138",2,1,1,6,3,2,89
"139",2,1,1,7,3,2,64
"140",2,1,1,8,3,2,71
"141",2,1,1,9,3,2,69
"142",2,2,1,1,1,2,82
"143",2,2,1,2,1,2,90
"144",2,2,1,3,1,2,13
"145",2,2,1,4,1,2,89
"146",2,2,1,5,1,2,61
"147",2,2,1,6,1,2,10
"148",2,2,1,7,1,2,27
"149",2,2,1,8,1,2,51
"150",2,2,1,9,1,2,97
"151",2,2,1,1,2,2,97
"152",2,2,1,2,2,2,16
"153",2,2,1,3,2,2,96
"154",2,2,1,4,2,2,93
"155",2,2,1,5,2,2,47
"156",2,2,1,6,2,2,77
"157",2,2,1,7,2,2,14
"158",2,2,1,8,2,2,40
"159",2,2,1,9,2,2,85
"160",2,2,1,1,3,2,80
"161",2,2,1,2,3,2,95
"162",2,2,1,3,3,2,65
"163",2,2,1,4,3,2,4
"164",2,2,1,5,3,2,82
"165",2,2,1,6,3,2,89
"166",2,2,1,7,3,2,64
"167",2,2,1,8,3,2,71
"168",2,2,1,9,3,2,69
"169",2,2,2,0,1,0,0
"170",2,2,2,0,2,0,0
"171",2,2,2,0,3,0,0
"172",2,2,3,1,1,1,140
"173",2,2,3,2,1,1,165
"174",2,2,3,3,1,1,117
"175",2,2,3,1,2,1,171
"176",2,2,3,2,2,1,104
"177",2,2,3,3,2,1,128
"178",2,2,3,1,3,1,105
"179",2,2,3,2,3,1,110
"180",2,2,3,3,3,1,181
"181",2,2,4,1,1,2,170
"182",2,2,4,2,1,2,132
"183",2,2,4,3,1,2,194
"184",2,2,4,4,1,2,104
"185",2,2,4,5,1,2,143
"186",2,2,4,6,1,2,137
"187",2,2,4,1,2,2,177
"188",2,2,4,2,2,2,179
"189",2,2,4,3,2,2,119
"190",2,2,4,4,2,2,148
"191",2,2,4,5,2,2,143
"192",2,2,4,6,2,2,162
"193",2,2,4,1,3,2,171
"194",2,2,4,2,3,2,175
"195",2,2,4,3,3,2,128
"196",2,2,4,4,3,2,166
"197",2,2,4,5,3,2,163
"198",2,2,4,6,3,2,116
"199",2,2,5,1,1,3,112
"200",2,2,5,2,1,3,150
"201",2,2,5,3,1,3,195
"202",2,2,5,4,1,3,134
"203",2,2,5,5,1,3,157
"204",2,2,5,6,1,3,122
"205",2,2,5,7,1,3,171
"206",2,2,5,8,1,3,124
"207",2,2,5,9,1,3,147
"208",2,2,5,1,2,3,170
"209",2,2,5,2,2,3,189
"210",2,2,5,3,2,3,195
"211",2,2,5,4,2,3,154
"212",2,2,5,5,2,3,114
"213",2,2,5,6,2,3,115
"214",2,2,5,7,2,3,125
"215",2,2,5,8,2,3,179
"216",2,2,5,9,2,3,124
"217",2,2,5,1,3,3,182
"218",2,2,5,2,3,3,125
"219",2,2,5,3,3,3,192
"220",2,2,5,4,3,3,134
"221",2,2,5,5,3,3,119
"222",2,2,5,6,3,3,124
"223",2,2,5,7,3,3,158
"224",2,2,5,8,3,3,145
"225",2,2,5,9,3,3,133
"226",2,2,6,0,1,3,126
"227",2,2,6,0,2,3,129
"228",2,2,6,0,3,3,110
"229",3,1,1,1,1,3,82
"230",3,1,1,2,1,3,90
"231",3,1,1,3,1,3,13
"232",3,1,1,4,1,3,89
"233",3,1,1,5,1,3,61
"234",3,1,1,6,1,3,10
"235",3,1,1,7,1,3,27
"236",3,1,1,8,1,3,51
"237",3,1,1,9,1,3,97
"238",3,1,1,1,2,3,97
"239",3,1,1,2,2,3,16
"240",3,1,1,3,2,3,96
"241",3,1,1,4,2,3,93
"242",3,1,1,5,2,3,47
"243",3,1,1,6,2,3,77
"244",3,1,1,7,2,3,14
"245",3,1,1,8,2,3,40
"246",3,1,1,9,2,3,85
"247",3,1,1,1,3,3,80
"248",3,1,1,2,3,3,95
"249",3,1,1,3,3,3,65
"250",3,1,1,4,3,3,4
"251",3,1,1,5,3,3,82
"252",3,1,1,6,3,3,89
"253",3,1,1,7,3,3,64
"254",3,1,1,8,3,3,71
"255",3,1,1,9,3,3,69
"256",3,2,1,1,1,3,82
"257",3,2,1,2,1,3,90
"258",3,2,1,3,1,3,13
"259",3,2,1,4,1,3,89
"260",3,2,1,5,1,3,61
"261",3,2,1,6,1,3,10
"262",3,2,1,7,1,3,27
"263",3,2,1,8,1,3,51
"264",3,2,1,9,1,3,97
"265",3,2,1,1,2,3,97
"266",3,2,1,2,2,3,16
"267",3,2,1,3,2,3,96
"268",3,2,1,4,2,3,93
"269",3,2,1,5,2,3,47
"270",3,2,1,6,2,3,77
"271",3,2,1,7,2,3,14
"272",3,2,1,8,2,3,40
"273",3,2,1,9,2,3,85
"274",3,2,1,1,3,3,80
"275",3,2,1,2,3,3,95
"276",3,2,1,3,3,3,65
"277",3,2,1,4,3,3,4
"278",3,2,1,5,3,3,82
"279",3,2,1,6,3,3,89
"280",3,2,1,7,3,3,64
"281",3,2,1,8,3,3,71
"282",3,2,1,9,3,3,69
"283",3,2,2,0,1,0,0
"284",3,2,2,0,2,0,0
"285",3,2,2,0,3,0,0
"286",3,2,3,1,1,1,140
"287",3,2,3,2,1,1,165
"288",3,2,3,3,1,1,117
"289",3,2,3,1,2,1,171
"290",3,2,3,2,2,1,104
"291",3,2,3,3,2,1,128
"292",3,2,3,1,3,1,105
"293",3,2,3,2,3,1,110
"294",3,2,3,3,3,1,181
"295",3,2,4,1,1,2,170
"296",3,2,4,2,1,2,132
"297",3,2,4,3,1,2,194
"298",3,2,4,4,1,2,104
"299",3,2,4,5,1,2,143
"300",3,2,4,6,1,2,137
"301",3,2,4,1,2,2,177
"302",3,2,4,2,2,2,179
"303",3,2,4,3,2,2,119
"304",3,2,4,4,2,2,148
"305",3,2,4,5,2,2,143
"306",3,2,4,6,2,2,162
"307",3,2,4,1,3,2,171
"308",3,2,4,2,3,2,175
"309",3,2,4,3,3,2,128
"310",3,2,4,4,3,2,166
"311",3,2,4,5,3,2,163
"312",3,2,4,6,3,2,116
"313",3,2,5,1,1,3,112
"314",3,2,5,2,1,3,150
"315",3,2,5,3,1,3,195
"316",3,2,5,4,1,3,134
"317",3,2,5,5,1,3,157
"318",3,2,5,6,1,3,122
"319",3,2,5,7,1,3,171
"320",3,2,5,8,1,3,124
"321",3,2,5,9,1,3,147
"322",3,2,5,1,2,3,170
"323",3,2,5,2,2,3,189
"324",3,2,5,3,2,3,195
"325",3,2,5,4,2,3,154
"326",3,2,5,5,2,3,114
"327",3,2,5,6,2,3,115
"328",3,2,5,7,2,3,125
"329",3,2,5,8,2,3,179
"330",3,2,5,9,2,3,124
"331",3,2,5,1,3,3,182
"332",3,2,5,2,3,3,125
"333",3,2,5,3,3,3,192
"334",3,2,5,4,3,3,134
"335",3,2,5,5,3,3,119
"336",3,2,5,6,3,3,124
"337",3,2,5,7,3,3,158
"338",3,2,5,8,3,3,145
"339",3,2,5,9,3,3,133
"340",3,2,6,0,1,3,126
"341",3,2,6,0,2,3,129
"342",3,2,6,0,3,3,110
"343",4,1,1,1,1,1,82
"344",4,1,1,2,1,2,92
"345",4,1,1,3,1,3,28
"346",4,1,1,4,1,1,90
"347",4,1,1,5,1,2,63
"348",4,1,1,6,1,3,55
"349",4,1,1,7,1,1,13
"350",4,1,1,8,1,2,10
"351",4,1,1,9,1,3,94
"352",4,1,1,1,2,1,97
"353",4,1,1,2,2,2,96
"354",4,1,1,3,2,3,15
"355",4,1,1,4,2,1,16
"356",4,1,1,5,2,2,49
"357",4,1,1,6,2,3,42
"358",4,1,1,7,2,1,96
"359",4,1,1,8,2,2,79
"360",4,1,1,9,2,3,90
"361",4,1,1,1,3,1,80
"362",4,1,1,2,3,2,4
"363",4,1,1,3,3,3,68
"364",4,1,1,4,3,1,95
"365",4,1,1,5,3,2,85
"366",4,1,1,6,3,3,76
"367",4,1,1,7,3,1,65
"368",4,1,1,8,3,2,92
"369",4,1,1,9,3,3,73
"370",4,2,1,1,1,1,82
"371",4,2,1,2,1,2,92
"372",4,2,1,3,1,3,28
"373",4,2,1,4,1,1,90
"374",4,2,1,5,1,2,63
"375",4,2,1,6,1,3,55
"376",4,2,1,7,1,1,13
"377",4,2,1,8,1,2,10
"378",4,2,1,9,1,3,94
"379",4,2,1,1,2,1,97
"380",4,2,1,2,2,2,96
"381",4,2,1,3,2,3,15
"382",4,2,1,4,2,1,16
"383",4,2,1,5,2,2,49
"384",4,2,1,6,2,3,42
"385",4,2,1,7,2,1,96
"386",4,2,1,8,2,2,79
"387",4,2,1,9,2,3,90
"388",4,2,1,1,3,1,80
"389",4,2,1,2,3,2,4
"390",4,2,1,3,3,3,68
"391",4,2,1,4,3,1,95
"392",4,2,1,5,3,2,85
"393",4,2,1,6,3,3,76
"394",4,2,1,7,3,1,65
"395",4,2,1,8,3,2,92
"396",4,2,1,9,3,3,73
"397",4,2,2,0,1,0,0
"398",4,2,2,0,2,0,0
"399",4,2,2,0,3,0,0
"400",4,2,3,1,1,1,140
"401",4,2,3,2,1,1,165
"402",4,2,3,3,1,1,117
"403",4,2,3,1,2,1,171
"404",4,2,3,2,2,1,104
"405",4,2,3,3,2,1,128
"406",4,2,3,1,3,1,105
"407",4,2,3,2,3,1,110
"408",4,2,3,3,3,1,181
"409",4,2,4,1,1,2,170
"410",4,2,4,2,1,2,132
"411",4,2,4,3,1,2,194
"412",4,2,4,4,1,2,104
"413",4,2,4,5,1,2,143
"414",4,2,4,6,1,2,137
"415",4,2,4,1,2,2,177
"416",4,2,4,2,2,2,179
"417",4,2,4,3,2,2,119
"418",4,2,4,4,2,2,148
"419",4,2,4,5,2,2,143
"420",4,2,4,6,2,2,162
"421",4,2,4,1,3,2,171
"422",4,2,4,2,3,2,175
"423",4,2,4,3,3,2,128
"424",4,2,4,4,3,2,166
"425",4,2,4,5,3,2,163
"426",4,2,4,6,3,2,116
"427",4,2,5,1,1,3,112
"428",4,2,5,2,1,3,150
"429",4,2,5,3,1,3,195
"430",4,2,5,4,1,3,134
"431",4,2,5,5,1,3,157
"432",4,2,5,6,1,3,122
"433",4,2,5,7,1,3,171
"434",4,2,5,8,1,3,124
"435",4,2,5,9,1,3,147
"436",4,2,5,1,2,3,170
"437",4,2,5,2,2,3,189
"438",4,2,5,3,2,3,195
"439",4,2,5,4,2,3,154
"440",4,2,5,5,2,3,114
"441",4,2,5,6,2,3,115
"442",4,2,5,7,2,3,125
"443",4,2,5,8,2,3,179
"444",4,2,5,9,2,3,124
"445",4,2,5,1,3,3,182
"446",4,2,5,2,3,3,125
"447",4,2,5,3,3,3,192
"448",4,2,5,4,3,3,134
"449",4,2,5,5,3,3,119
"450",4,2,5,6,3,3,124
"451",4,2,5,7,3,3,158
"452",4,2,5,8,3,3,145
"453",4,2,5,9,3,3,133
"454",4,2,6,0,1,3,126
"455",4,2,6,0,2,3,129
"456",4,2,6,0,3,3,110
