"","condition","block","category","token","N_A","N_B","N_C","N_subj","dot1x","dot1y","dot2x","dot2y","dot3x","dot3y","dot4x","dot4y","dot5x","dot5y","dot6x","dot6y","dot7x","dot7y","dot8x","dot8y","dot9x","dot9y"
"1",1,1,1,1,8,10,2,20,13,-7,4,12,14,-2,-16,9,-11,-1,-6,0,-5,8,-6,-9,17,5
"2",1,1,1,2,9,7,4,20,13,3,-5,18,11,-4,-10,10,-10,-2,-6,5,-5,8,-1,-11,13,9
"3",1,1,1,3,5,12,3,20,13,2,-6,20,13,-3,-10,10,-11,-1,1,8,-9,3,-7,-8,12,10
"4",1,1,1,4,13,6,1,20,13,3,-5,19,14,-2,-10,10,-12,-1,-6,5,-6,8,-5,-10,12,11
"5",1,1,1,5,13,3,4,20,13,3,-6,21,23,3,-10,10,-11,-1,-6,4,-3,6,-6,-8,13,8
"6",1,1,1,6,11,7,2,20,13,2,-4,17,14,-2,-11,11,-11,-1,-5,5,-8,5,-7,-8,12,8
"7",1,1,1,7,11,6,3,20,12,3,-4,17,9,3,-10,10,-11,-1,-4,3,-5,8,-5,-10,13,9
"8",1,1,1,8,13,5,2,20,13,3,-5,18,13,-1,-16,3,-10,-2,-5,4,-5,7,-6,-9,13,10
"9",1,1,1,9,11,1,8,20,10,0,-4,17,19,7,-10,11,-10,-2,-7,3,-10,16,-6,-9,13,9
"10",1,1,2,1,6,13,1,20,10,13,-1,10,13,-1,-14,20,-12,-6,-2,4,-13,11,-9,-9,11,4
"11",1,1,2,2,9,9,2,20,10,13,-9,14,14,-1,-13,20,-8,-5,-1,3,-14,11,-9,-7,11,4
"12",1,1,2,3,5,14,1,20,10,14,0,11,12,0,-14,20,-12,-4,-1,3,-13,10,-9,-7,11,4
"13",1,1,2,4,5,12,3,20,10,13,-1,14,14,-2,-15,20,-13,-5,0,7,-14,11,-9,-7,10,5
"14",1,1,2,5,5,13,2,20,10,13,1,10,13,-1,-12,20,-11,-5,-1,4,-14,11,-9,-7,11,5
"15",1,1,2,6,9,8,3,20,10,14,3,3,13,-2,-12,19,-12,-5,-1,4,-15,13,-8,-7,11,4
"16",1,1,2,7,4,14,2,20,11,14,-1,12,13,-3,-14,20,-12,-6,0,2,-14,11,-10,-7,12,5
"17",1,1,2,8,3,15,2,20,11,12,1,10,13,-1,-13,20,-12,-6,-2,3,-15,11,-8,-8,11,3
"18",1,1,2,9,2,16,2,20,10,13,-1,11,13,-1,-12,20,-12,-5,0,2,-12,11,-8,-7,11,4
"19",1,1,3,1,5,5,10,20,14,-1,-3,19,9,-5,-10,9,-6,-13,-2,0,-13,19,-3,-12,13,5
"20",1,1,3,2,6,4,10,20,14,-2,-5,20,9,-4,-10,11,-8,-14,-3,-1,-13,23,-4,-11,11,5
"21",1,1,3,3,2,1,17,20,15,-2,-4,19,10,-5,-10,8,-5,-12,-3,0,-14,20,-2,-13,12,6
"22",1,1,3,4,2,5,13,20,15,-2,-5,19,8,-10,-10,8,-6,-14,-3,0,-13,18,-4,-12,11,6
"23",1,1,3,5,6,2,12,20,15,-3,-4,20,9,-4,-10,9,-6,-14,-3,0,-12,10,-3,-12,12,5
"24",1,1,3,6,4,1,15,20,15,-2,-5,21,9,-4,-10,9,-7,-14,-3,0,-13,19,-4,-11,13,5
"25",1,1,3,7,5,3,12,20,15,-3,-5,20,8,-5,-10,8,-7,-11,-3,0,-13,19,-3,-12,13,4
"26",1,1,3,8,3,2,15,20,15,-3,-5,20,9,-5,-10,9,-7,-13,-3,0,-13,19,-3,-13,13,6
"27",1,1,3,9,3,7,10,20,16,-3,-5,20,9,-5,-10,9,-6,-13,-1,8,-11,21,-3,-13,12,5
"28",1,2,1,1,12,5,3,20,13,-7,4,12,14,-2,-16,9,-11,-1,-6,0,-5,8,-6,-9,17,5
"29",1,2,1,2,12,5,3,20,13,3,-5,18,11,-4,-10,10,-10,-2,-6,5,-5,8,-1,-11,13,9
"30",1,2,1,3,6,12,2,20,13,2,-6,20,13,-3,-10,10,-11,-1,1,8,-9,3,-7,-8,12,10
"31",1,2,1,4,15,5,0,20,13,3,-5,19,14,-2,-10,10,-12,-1,-6,5,-6,8,-5,-10,12,11
"32",1,2,1,5,13,2,5,20,13,3,-6,21,23,3,-10,10,-11,-1,-6,4,-3,6,-6,-8,13,8
"33",1,2,1,6,15,5,0,20,13,2,-4,17,14,-2,-11,11,-11,-1,-5,5,-8,5,-7,-8,12,8
"34",1,2,1,7,14,3,3,20,12,3,-4,17,9,3,-10,10,-11,-1,-4,3,-5,8,-5,-10,13,9
"35",1,2,1,8,16,4,0,20,13,3,-5,18,13,-1,-16,3,-10,-2,-5,4,-5,7,-6,-9,13,10
"36",1,2,1,9,14,4,2,20,10,0,-4,17,19,7,-10,11,-10,-2,-7,3,-10,16,-6,-9,13,9
"37",1,2,2,1,2,18,0,20,10,13,-1,10,13,-1,-14,20,-12,-6,-2,4,-13,11,-9,-9,11,4
"38",1,2,2,2,6,12,2,20,10,13,-9,14,14,-1,-13,20,-8,-5,-1,3,-14,11,-9,-7,11,4
"39",1,2,2,3,1,19,0,20,10,14,0,11,12,0,-14,20,-12,-4,-1,3,-13,10,-9,-7,11,4
"40",1,2,2,4,3,16,1,20,10,13,-1,14,14,-2,-15,20,-13,-5,0,7,-14,11,-9,-7,10,5
"41",1,2,2,5,2,18,0,20,10,13,1,10,13,-1,-12,20,-11,-5,-1,4,-14,11,-9,-7,11,5
"42",1,2,2,6,4,14,2,20,10,14,3,3,13,-2,-12,19,-12,-5,-1,4,-15,13,-8,-7,11,4
"43",1,2,2,7,3,17,0,20,11,14,-1,12,13,-3,-14,20,-12,-6,0,2,-14,11,-10,-7,12,5
"44",1,2,2,8,5,15,0,20,11,12,1,10,13,-1,-13,20,-12,-6,-2,3,-15,11,-8,-8,11,3
"45",1,2,2,9,2,17,1,20,10,13,-1,11,13,-1,-12,20,-12,-5,0,2,-12,11,-8,-7,11,4
"46",1,2,3,1,2,4,14,20,14,-1,-3,19,9,-5,-10,9,-6,-13,-2,0,-13,19,-3,-12,13,5
"47",1,2,3,2,4,0,16,20,14,-2,-5,20,9,-4,-10,11,-8,-14,-3,-1,-13,23,-4,-11,11,5
"48",1,2,3,3,1,2,17,20,15,-2,-4,19,10,-5,-10,8,-5,-12,-3,0,-14,20,-2,-13,12,6
"49",1,2,3,4,2,0,18,20,15,-2,-5,19,8,-10,-10,8,-6,-14,-3,0,-13,18,-4,-12,11,6
"50",1,2,3,5,2,1,17,20,15,-3,-4,20,9,-4,-10,9,-6,-14,-3,0,-12,10,-3,-12,12,5
"51",1,2,3,6,1,0,19,20,15,-2,-5,21,9,-4,-10,9,-7,-14,-3,0,-13,19,-4,-11,13,5
"52",1,2,3,7,2,2,16,20,15,-3,-5,20,8,-5,-10,8,-7,-11,-3,0,-13,19,-3,-12,13,4
"53",1,2,3,8,1,1,18,20,15,-3,-5,20,9,-5,-10,9,-7,-13,-3,0,-13,19,-3,-13,13,6
"54",1,2,3,9,3,1,16,20,16,-3,-5,20,9,-5,-10,9,-6,-13,-1,8,-11,21,-3,-13,12,5
"55",1,3,1,1,15,3,2,20,13,-7,4,12,14,-2,-16,9,-11,-1,-6,0,-5,8,-6,-9,17,5
"56",1,3,1,2,15,2,3,20,13,3,-5,18,11,-4,-10,10,-10,-2,-6,5,-5,8,-1,-11,13,9
"57",1,3,1,3,10,9,1,20,13,2,-6,20,13,-3,-10,10,-11,-1,1,8,-9,3,-7,-8,12,10
"58",1,3,1,4,18,2,0,20,13,3,-5,19,14,-2,-10,10,-12,-1,-6,5,-6,8,-5,-10,12,11
"59",1,3,1,5,16,1,3,20,13,3,-6,21,23,3,-10,10,-11,-1,-6,4,-3,6,-6,-8,13,8
"60",1,3,1,6,17,2,1,20,13,2,-4,17,14,-2,-11,11,-11,-1,-5,5,-8,5,-7,-8,12,8
"61",1,3,1,7,10,4,6,20,12,3,-4,17,9,3,-10,10,-11,-1,-4,3,-5,8,-5,-10,13,9
"62",1,3,1,8,19,1,0,20,13,3,-5,18,13,-1,-16,3,-10,-2,-5,4,-5,7,-6,-9,13,10
"63",1,3,1,9,14,2,4,20,10,0,-4,17,19,7,-10,11,-10,-2,-7,3,-10,16,-6,-9,13,9
"64",1,3,2,1,1,19,0,20,10,13,-1,10,13,-1,-14,20,-12,-6,-2,4,-13,11,-9,-9,11,4
"65",1,3,2,2,10,8,2,20,10,13,-9,14,14,-1,-13,20,-8,-5,-1,3,-14,11,-9,-7,11,4
"66",1,3,2,3,0,20,0,20,10,14,0,11,12,0,-14,20,-12,-4,-1,3,-13,10,-9,-7,11,4
"67",1,3,2,4,4,16,0,20,10,13,-1,14,14,-2,-15,20,-13,-5,0,7,-14,11,-9,-7,10,5
"68",1,3,2,5,1,18,1,20,10,13,1,10,13,-1,-12,20,-11,-5,-1,4,-14,11,-9,-7,11,5
"69",1,3,2,6,0,17,3,20,10,14,3,3,13,-2,-12,19,-12,-5,-1,4,-15,13,-8,-7,11,4
"70",1,3,2,7,2,17,1,20,11,14,-1,12,13,-3,-14,20,-12,-6,0,2,-14,11,-10,-7,12,5
"71",1,3,2,8,1,18,1,20,11,12,1,10,13,-1,-13,20,-12,-6,-2,3,-15,11,-8,-8,11,3
"72",1,3,2,9,0,19,1,20,10,13,-1,11,13,-1,-12,20,-12,-5,0,2,-12,11,-8,-7,11,4
"73",1,3,3,1,2,2,16,20,14,-1,-3,19,9,-5,-10,9,-6,-13,-2,0,-13,19,-3,-12,13,5
"74",1,3,3,2,3,0,17,20,14,-2,-5,20,9,-4,-10,11,-8,-14,-3,-1,-13,23,-4,-11,11,5
"75",1,3,3,3,2,1,17,20,15,-2,-4,19,10,-5,-10,8,-5,-12,-3,0,-14,20,-2,-13,12,6
"76",1,3,3,4,3,2,15,20,15,-2,-5,19,8,-10,-10,8,-6,-14,-3,0,-13,18,-4,-12,11,6
"77",1,3,3,5,2,2,16,20,15,-3,-4,20,9,-4,-10,9,-6,-14,-3,0,-12,10,-3,-12,12,5
"78",1,3,3,6,2,1,17,20,15,-2,-5,21,9,-4,-10,9,-7,-14,-3,0,-13,19,-4,-11,13,5
"79",1,3,3,7,1,1,18,20,15,-3,-5,20,8,-5,-10,8,-7,-11,-3,0,-13,19,-3,-12,13,4
"80",1,3,3,8,3,1,16,20,15,-3,-5,20,9,-5,-10,9,-7,-13,-3,0,-13,19,-3,-13,13,6
"81",1,3,3,9,2,0,18,20,16,-3,-5,20,9,-5,-10,9,-6,-13,-1,8,-11,21,-3,-13,12,5
"82",1,4,1,1,15,4,1,20,13,-7,4,12,14,-2,-16,9,-11,-1,-6,0,-5,8,-6,-9,17,5
"83",1,4,1,2,15,1,4,20,13,3,-5,18,11,-4,-10,10,-10,-2,-6,5,-5,8,-1,-11,13,9
"84",1,4,1,3,13,7,0,20,13,2,-6,20,13,-3,-10,10,-11,-1,1,8,-9,3,-7,-8,12,10
"85",1,4,1,4,18,2,0,20,13,3,-5,19,14,-2,-10,10,-12,-1,-6,5,-6,8,-5,-10,12,11
"86",1,4,1,5,19,1,0,20,13,3,-6,21,23,3,-10,10,-11,-1,-6,4,-3,6,-6,-8,13,8
"87",1,4,1,6,18,1,1,20,13,2,-4,17,14,-2,-11,11,-11,-1,-5,5,-8,5,-7,-8,12,8
"88",1,4,1,7,16,2,2,20,12,3,-4,17,9,3,-10,10,-11,-1,-4,3,-5,8,-5,-10,13,9
"89",1,4,1,8,19,1,0,20,13,3,-5,18,13,-1,-16,3,-10,-2,-5,4,-5,7,-6,-9,13,10
"90",1,4,1,9,17,0,3,20,10,0,-4,17,19,7,-10,11,-10,-2,-7,3,-10,16,-6,-9,13,9
"91",1,4,2,1,1,16,3,20,10,13,-1,10,13,-1,-14,20,-12,-6,-2,4,-13,11,-9,-9,11,4
"92",1,4,2,2,9,8,3,20,10,13,-9,14,14,-1,-13,20,-8,-5,-1,3,-14,11,-9,-7,11,4
"93",1,4,2,3,0,19,1,20,10,14,0,11,12,0,-14,20,-12,-4,-1,3,-13,10,-9,-7,11,4
"94",1,4,2,4,1,18,1,20,10,13,-1,14,14,-2,-15,20,-13,-5,0,7,-14,11,-9,-7,10,5
"95",1,4,2,5,1,19,0,20,10,13,1,10,13,-1,-12,20,-11,-5,-1,4,-14,11,-9,-7,11,5
"96",1,4,2,6,4,15,1,20,10,14,3,3,13,-2,-12,19,-12,-5,-1,4,-15,13,-8,-7,11,4
"97",1,4,2,7,2,18,0,20,11,14,-1,12,13,-3,-14,20,-12,-6,0,2,-14,11,-10,-7,12,5
"98",1,4,2,8,0,20,0,20,11,12,1,10,13,-1,-13,20,-12,-6,-2,3,-15,11,-8,-8,11,3
"99",1,4,2,9,1,19,0,20,10,13,-1,11,13,-1,-12,20,-12,-5,0,2,-12,11,-8,-7,11,4
"100",1,4,3,1,2,1,17,20,14,-1,-3,19,9,-5,-10,9,-6,-13,-2,0,-13,19,-3,-12,13,5
"101",1,4,3,2,4,0,16,20,14,-2,-5,20,9,-4,-10,11,-8,-14,-3,-1,-13,23,-4,-11,11,5
"102",1,4,3,3,1,0,19,20,15,-2,-4,19,10,-5,-10,8,-5,-12,-3,0,-14,20,-2,-13,12,6
"103",1,4,3,4,2,0,18,20,15,-2,-5,19,8,-10,-10,8,-6,-14,-3,0,-13,18,-4,-12,11,6
"104",1,4,3,5,4,1,15,20,15,-3,-4,20,9,-4,-10,9,-6,-14,-3,0,-12,10,-3,-12,12,5
"105",1,4,3,6,1,1,18,20,15,-2,-5,21,9,-4,-10,9,-7,-14,-3,0,-13,19,-4,-11,13,5
"106",1,4,3,7,2,1,17,20,15,-3,-5,20,8,-5,-10,8,-7,-11,-3,0,-13,19,-3,-12,13,4
"107",1,4,3,8,0,1,19,20,15,-3,-5,20,9,-5,-10,9,-7,-13,-3,0,-13,19,-3,-13,13,6
"108",1,4,3,9,0,0,20,20,16,-3,-5,20,9,-5,-10,9,-6,-13,-1,8,-11,21,-3,-13,12,5
"109",1,5,1,1,17,2,1,20,13,-7,4,12,14,-2,-16,9,-11,-1,-6,0,-5,8,-6,-9,17,5
"110",1,5,1,2,18,1,1,20,13,3,-5,18,11,-4,-10,10,-10,-2,-6,5,-5,8,-1,-11,13,9
"111",1,5,1,3,10,8,2,20,13,2,-6,20,13,-3,-10,10,-11,-1,1,8,-9,3,-7,-8,12,10
"112",1,5,1,4,19,1,0,20,13,3,-5,19,14,-2,-10,10,-12,-1,-6,5,-6,8,-5,-10,12,11
"113",1,5,1,5,16,2,2,20,13,3,-6,21,23,3,-10,10,-11,-1,-6,4,-3,6,-6,-8,13,8
"114",1,5,1,6,19,1,0,20,13,2,-4,17,14,-2,-11,11,-11,-1,-5,5,-8,5,-7,-8,12,8
"115",1,5,1,7,15,0,5,20,12,3,-4,17,9,3,-10,10,-11,-1,-4,3,-5,8,-5,-10,13,9
"116",1,5,1,8,19,0,1,20,13,3,-5,18,13,-1,-16,3,-10,-2,-5,4,-5,7,-6,-9,13,10
"117",1,5,1,9,16,1,3,20,10,0,-4,17,19,7,-10,11,-10,-2,-7,3,-10,16,-6,-9,13,9
"118",1,5,2,1,1,18,1,20,10,13,-1,10,13,-1,-14,20,-12,-6,-2,4,-13,11,-9,-9,11,4
"119",1,5,2,2,11,5,4,20,10,13,-9,14,14,-1,-13,20,-8,-5,-1,3,-14,11,-9,-7,11,4
"120",1,5,2,3,1,19,0,20,10,14,0,11,12,0,-14,20,-12,-4,-1,3,-13,10,-9,-7,11,4
"121",1,5,2,4,0,19,1,20,10,13,-1,14,14,-2,-15,20,-13,-5,0,7,-14,11,-9,-7,10,5
"122",1,5,2,5,1,19,0,20,10,13,1,10,13,-1,-12,20,-11,-5,-1,4,-14,11,-9,-7,11,5
"123",1,5,2,6,2,16,2,20,10,14,3,3,13,-2,-12,19,-12,-5,-1,4,-15,13,-8,-7,11,4
"124",1,5,2,7,2,18,0,20,11,14,-1,12,13,-3,-14,20,-12,-6,0,2,-14,11,-10,-7,12,5
"125",1,5,2,8,1,19,0,20,11,12,1,10,13,-1,-13,20,-12,-6,-2,3,-15,11,-8,-8,11,3
"126",1,5,2,9,1,19,0,20,10,13,-1,11,13,-1,-12,20,-12,-5,0,2,-12,11,-8,-7,11,4
"127",1,5,3,1,1,1,18,20,14,-1,-3,19,9,-5,-10,9,-6,-13,-2,0,-13,19,-3,-12,13,5
"128",1,5,3,2,2,0,18,20,14,-2,-5,20,9,-4,-10,11,-8,-14,-3,-1,-13,23,-4,-11,11,5
"129",1,5,3,3,2,0,18,20,15,-2,-4,19,10,-5,-10,8,-5,-12,-3,0,-14,20,-2,-13,12,6
"130",1,5,3,4,2,1,17,20,15,-2,-5,19,8,-10,-10,8,-6,-14,-3,0,-13,18,-4,-12,11,6
"131",1,5,3,5,4,1,15,20,15,-3,-4,20,9,-4,-10,9,-6,-14,-3,0,-12,10,-3,-12,12,5
"132",1,5,3,6,1,0,19,20,15,-2,-5,21,9,-4,-10,9,-7,-14,-3,0,-13,19,-4,-11,13,5
"133",1,5,3,7,1,0,19,20,15,-3,-5,20,8,-5,-10,8,-7,-11,-3,0,-13,19,-3,-12,13,4
"134",1,5,3,8,2,1,17,20,15,-3,-5,20,9,-5,-10,9,-7,-13,-3,0,-13,19,-3,-13,13,6
"135",1,5,3,9,1,0,19,20,16,-3,-5,20,9,-5,-10,9,-6,-13,-1,8,-11,21,-3,-13,12,5
"136",1,6,1,1,18,2,0,20,13,-7,4,12,14,-2,-16,9,-11,-1,-6,0,-5,8,-6,-9,17,5
"137",1,6,1,2,13,3,4,20,13,3,-5,18,11,-4,-10,10,-10,-2,-6,5,-5,8,-1,-11,13,9
"138",1,6,1,3,12,6,2,20,13,2,-6,20,13,-3,-10,10,-11,-1,1,8,-9,3,-7,-8,12,10
"139",1,6,1,4,18,2,0,20,13,3,-5,19,14,-2,-10,10,-12,-1,-6,5,-6,8,-5,-10,12,11
"140",1,6,1,5,18,0,2,20,13,3,-6,21,23,3,-10,10,-11,-1,-6,4,-3,6,-6,-8,13,8
"141",1,6,1,6,18,2,0,20,13,2,-4,17,14,-2,-11,11,-11,-1,-5,5,-8,5,-7,-8,12,8
"142",1,6,1,7,18,2,0,20,12,3,-4,17,9,3,-10,10,-11,-1,-4,3,-5,8,-5,-10,13,9
"143",1,6,1,8,19,0,1,20,13,3,-5,18,13,-1,-16,3,-10,-2,-5,4,-5,7,-6,-9,13,10
"144",1,6,1,9,18,0,2,20,10,0,-4,17,19,7,-10,11,-10,-2,-7,3,-10,16,-6,-9,13,9
"145",1,6,2,1,1,18,1,20,10,13,-1,10,13,-1,-14,20,-12,-6,-2,4,-13,11,-9,-9,11,4
"146",1,6,2,2,9,8,3,20,10,13,-9,14,14,-1,-13,20,-8,-5,-1,3,-14,11,-9,-7,11,4
"147",1,6,2,3,0,20,0,20,10,14,0,11,12,0,-14,20,-12,-4,-1,3,-13,10,-9,-7,11,4
"148",1,6,2,4,0,20,0,20,10,13,-1,14,14,-2,-15,20,-13,-5,0,7,-14,11,-9,-7,10,5
"149",1,6,2,5,1,19,0,20,10,13,1,10,13,-1,-12,20,-11,-5,-1,4,-14,11,-9,-7,11,5
"150",1,6,2,6,1,18,1,20,10,14,3,3,13,-2,-12,19,-12,-5,-1,4,-15,13,-8,-7,11,4
"151",1,6,2,7,0,20,0,20,11,14,-1,12,13,-3,-14,20,-12,-6,0,2,-14,11,-10,-7,12,5
"152",1,6,2,8,1,19,0,20,11,12,1,10,13,-1,-13,20,-12,-6,-2,3,-15,11,-8,-8,11,3
"153",1,6,2,9,0,20,0,20,10,13,-1,11,13,-1,-12,20,-12,-5,0,2,-12,11,-8,-7,11,4
"154",1,6,3,1,1,1,18,20,14,-1,-3,19,9,-5,-10,9,-6,-13,-2,0,-13,19,-3,-12,13,5
"155",1,6,3,2,2,0,18,20,14,-2,-5,20,9,-4,-10,11,-8,-14,-3,-1,-13,23,-4,-11,11,5
"156",1,6,3,3,0,3,17,20,15,-2,-4,19,10,-5,-10,8,-5,-12,-3,0,-14,20,-2,-13,12,6
"157",1,6,3,4,3,0,17,20,15,-2,-5,19,8,-10,-10,8,-6,-14,-3,0,-13,18,-4,-12,11,6
"158",1,6,3,5,3,1,16,20,15,-3,-4,20,9,-4,-10,9,-6,-14,-3,0,-12,10,-3,-12,12,5
"159",1,6,3,6,1,0,19,20,15,-2,-5,21,9,-4,-10,9,-7,-14,-3,0,-13,19,-4,-11,13,5
"160",1,6,3,7,1,1,18,20,15,-3,-5,20,8,-5,-10,8,-7,-11,-3,0,-13,19,-3,-12,13,4
"161",1,6,3,8,1,0,19,20,15,-3,-5,20,9,-5,-10,9,-7,-13,-3,0,-13,19,-3,-13,13,6
"162",1,6,3,9,1,0,19,20,16,-3,-5,20,9,-5,-10,9,-6,-13,-1,8,-11,21,-3,-13,12,5
"163",1,7,1,1,16,2,2,20,13,-7,4,12,14,-2,-16,9,-11,-1,-6,0,-5,8,-6,-9,17,5
"164",1,7,1,2,17,2,1,20,13,3,-5,18,11,-4,-10,10,-10,-2,-6,5,-5,8,-1,-11,13,9
"165",1,7,1,3,9,10,1,20,13,2,-6,20,13,-3,-10,10,-11,-1,1,8,-9,3,-7,-8,12,10
"166",1,7,1,4,18,2,0,20,13,3,-5,19,14,-2,-10,10,-12,-1,-6,5,-6,8,-5,-10,12,11
"167",1,7,1,5,17,1,2,20,13,3,-6,21,23,3,-10,10,-11,-1,-6,4,-3,6,-6,-8,13,8
"168",1,7,1,6,20,0,0,20,13,2,-4,17,14,-2,-11,11,-11,-1,-5,5,-8,5,-7,-8,12,8
"169",1,7,1,7,16,1,3,20,12,3,-4,17,9,3,-10,10,-11,-1,-4,3,-5,8,-5,-10,13,9
"170",1,7,1,8,19,1,0,20,13,3,-5,18,13,-1,-16,3,-10,-2,-5,4,-5,7,-6,-9,13,10
"171",1,7,1,9,17,2,1,20,10,0,-4,17,19,7,-10,11,-10,-2,-7,3,-10,16,-6,-9,13,9
"172",1,7,2,1,1,19,0,20,10,13,-1,10,13,-1,-14,20,-12,-6,-2,4,-13,11,-9,-9,11,4
"173",1,7,2,2,7,10,3,20,10,13,-9,14,14,-1,-13,20,-8,-5,-1,3,-14,11,-9,-7,11,4
"174",1,7,2,3,2,18,0,20,10,14,0,11,12,0,-14,20,-12,-4,-1,3,-13,10,-9,-7,11,4
"175",1,7,2,4,0,20,0,20,10,13,-1,14,14,-2,-15,20,-13,-5,0,7,-14,11,-9,-7,10,5
"176",1,7,2,5,1,19,0,20,10,13,1,10,13,-1,-12,20,-11,-5,-1,4,-14,11,-9,-7,11,5
"177",1,7,2,6,1,18,1,20,10,14,3,3,13,-2,-12,19,-12,-5,-1,4,-15,13,-8,-7,11,4
"178",1,7,2,7,0,20,0,20,11,14,-1,12,13,-3,-14,20,-12,-6,0,2,-14,11,-10,-7,12,5
"179",1,7,2,8,1,18,1,20,11,12,1,10,13,-1,-13,20,-12,-6,-2,3,-15,11,-8,-8,11,3
